"","Property_Sector","Origination_Date","Fixed_Maturity","Recent_NOI","Recent_Value","Orig_Note_Amount","Year_Built","Physical_Occupancy_At_Securitiza","Scheduled_Balloon","FSH","Health","Industrial","LSH","Mixed_Use","Mobile_Home","Multi_family","Office","Other","Retail_Anchored","Retail_Unanchored","Self_Storage","Warehouse","Spread","Inv_Bank_Dummy"
"4419","Multi-family",1997-02-18,2004-03-01,2085515,24600000,18400000,1979,0.946,17087561.91,0,0,0,0,0,0,1,0,0,0,0,0,0,1.9239,1
"4420","Multi-family",1996-11-22,2006-12-01,1836674,2.3e+07,16500000,1964,0.978,14472189.11,0,0,0,0,0,0,1,0,0,0,0,0,0,1.64673,1
"4421","Limited Service Hotel",1997-02-07,2004-03-01,2124485,26500000,14500000,1920,-1,13065447.62,0,0,0,1,0,0,0,0,0,0,0,0,0,2.8976,1
"4422","Multi-family",1997-02-28,2007-03-01,1598009,1.8e+07,1.4e+07,1967,0.9696,12331481.02,0,0,0,0,0,0,1,0,0,0,0,0,0,1.565,0
"4423","Other",1996-12-27,2007-01-01,1844076,21400000,13750000,0,0.87119,12238302.08,0,0,0,0,0,0,0,0,1,0,0,0,0,2.26488,1
"4424","Retail Anchored",1996-11-27,2006-12-01,1695887,19300000,13450000,1974,0.9798,11903237.31,0,0,0,0,0,0,0,0,0,1,0,0,0,2.144865,1
"4425","Retail Anchored",1997-03-13,2007-04-01,1599179,18800000,13300000,1958,0.9314,11831156.67,0,0,0,0,0,0,0,0,0,1,0,0,0,1.98435,1
"4426","Office",1997-02-05,2007-03-01,2330002,2.7e+07,1.3e+07,1971,0.595,9294130.93,0,0,0,0,0,0,0,1,0,0,0,0,0,2.47419,1
"4427","Multi-family",1996-10-29,2006-11-01,1923492,17300000,1.3e+07,1971,0.9469,11512783.54,0,0,0,0,0,0,1,0,0,0,0,0,0,1.78986,1
"4428","Retail Anchored",1997-01-30,2007-02-01,1390355,15800000,11420000,1994,1,10183267.9,0,0,0,0,0,0,0,0,0,1,0,0,0,2.125,1
"4429","Retail Anchored",1997-03-20,2007-04-01,1284788,15100000,11200000,1994,1,9835258.78,0,0,0,0,0,0,0,0,0,1,0,0,0,1.20961,1
"4430","Multi-family",1997-03-03,2004-04-01,1206498,13900000,10900000,1975,0.9834,10118618.66,0,0,0,0,0,0,1,0,0,0,0,0,0,1.73286666666667,1
"4431","Multi-family",1997-03-19,2007-04-01,1066928,1.3e+07,9574000,1974,0.9042,8494184.77,0,0,0,0,0,0,1,0,0,0,0,0,0,1.80461,1
"4432","Retail Anchored",1996-11-26,2003-12-01,1136635,13900000,9500000,1989,0.9389,8827798.01,0,0,0,0,0,0,0,0,0,1,0,0,0,2.17266666666667,1
"4433","Multi-family",1996-11-26,2006-12-01,1066769,12500000,9500000,1986,0.9494,8367790.89,0,0,0,0,0,0,1,0,0,0,0,0,0,1.904865,0
"4434","Limited Service Hotel",1996-10-10,2019-11-01,1476002,15800000,9500000,1986,-1,3.02,0,0,0,1,0,0,0,0,0,0,0,0,0,2.34828,1
"4435","Multi-family",1996-12-12,2007-01-01,1135160,12500000,9300000,1993,0.9483,8216044.52,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0643,0
"4436","Multi-family",1997-03-31,2004-04-01,1105030,12500000,9100000,1979,0.96,8459540.96,0,0,0,0,0,0,1,0,0,0,0,0,0,1.505,1
"4437","Multi-family",1997-01-31,2007-02-01,1056583,13500000,9094013,1987,0.9199,8057526.51,0,0,0,0,0,0,1,0,0,0,0,0,0,1.745,1
"4438","Retail Anchored",1996-11-27,2006-12-01,1385705,1.7e+07,8750000,1965,0.908,6119711.77,0,0,0,0,0,0,0,0,0,1,0,0,0,2.128865,1
"4439","Multi-family",1996-10-18,2006-11-01,1060630,11400000,8550000,1984,0.985,7590005.87,0,0,0,0,0,0,1,0,0,0,0,0,0,1.92442,0
"4440","Multi-family",1997-02-06,2007-03-01,986630,1.1e+07,8250000,1984,0.97,7296985.26,0,0,0,0,0,0,1,0,0,0,0,0,0,1.57919,1
"4441","Multi-family",1996-12-30,2007-01-01,1017428,10500000,7928000,1984,0.9769,7041177.26,0,0,0,0,0,0,1,0,0,0,0,0,0,2.105,0
"4442","Multi-family",1997-02-24,2004-03-01,888894,9800000,7840000,1978,0.919,7250229.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6247,1
